ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"70.32.25.147","elite","AS55293","US","A2 Hosting, Inc.","90","A2 Hosting, Inc.","36546","socks4","3394","3","2023-12-12T07:31:22.615Z","100","5101","5106"
"31.44.82.182","elite","AS29226","RU","JSC Mastertel","49","Mastertel","5678","socks4","2286","1","2023-12-12T07:31:22.512Z","100","5179","5188"
"185.162.229.127","elite","AS209242","GB","Cloudflare London, LLC","12","Softconstruct Limited","80","socks5","4305","1","2023-12-12T07:31:22.417Z","100","5116","5116"
"88.20.124.158","elite","AS3352","ES","Telefonica de Espana SAU","85","RIMA (Red IP Multi Acceso)","4145","socks4","2803","1","2023-12-12T07:31:18.014Z","96","4973","5161"
"43.134.169.72","elite","AS132203","SG","Aceville Pte.ltd","396","N/A","443","socks5","4379","1","2023-12-12T07:31:18.011Z","87","4541","5211"
"45.8.104.168","elite","AS209242","DE","Cloudflare London, LLC","12","Araxio Development N.V","80","socks4","577","1","2023-12-12T07:31:17.919Z","100","5155","5155"
"111.1.36.166","elite","AS56041","CN","China Mobile communications corporation","258","China Mobile","82","socks5","2911","1","2023-12-12T07:31:14.424Z","86","4410","5141"
"1.231.77.174","elite","AS9318","KR","SK Broadband Co Ltd","296","broadNnet","1080","socks4","495","1","2023-12-12T07:31:14.415Z","100","5197","5212"
"119.18.152.139","elite","AS55685","ID","PT. Jala Lintas Media","190","N/A","4145","socks4","4903","1","2023-12-12T07:31:14.418Z","99","5194","5247"
"157.185.157.151","elite","AS54994","CA","Meteverse Limited.","197","Meteverse Limited","26589","socks5","556","1","2023-12-12T07:31:14.423Z","99","4987","5054"
"209.141.33.219","elite","AS53667","US","FranTech Solutions","139","FranTech Solutions","9092","socks5","1193","1","2023-12-12T07:31:14.419Z","100","5107","5118"
"208.113.220.98","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","36869","socks5","4797","1","2023-12-12T07:31:12.210Z","100","5189","5196"
"43.153.81.168","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","195","Tencent Cloud Computing","443","socks4","5011","1","2023-12-12T07:31:12.203Z","93","4816","5169"
"188.166.217.4","elite","AS14061","SG","DigitalOcean, LLC","150","Digitalocean","20278","socks5","5090","1","2023-12-12T07:31:12.204Z","100","5056","5066"
"203.76.103.57","elite","AS23688","BD","Link3 Technologies Limited","197","Corporate Subscriber","4145","socks4","4695","1","2023-12-12T07:31:12.207Z","97","5022","5168"
"81.199.14.14","elite","AS36892","GB","IPTEC Limited","293","Gilat Satcom Ltd.","1088","socks4","4796","1","2023-12-12T07:31:12.209Z","54","2762","5155"
"110.78.149.20","elite","AS131090","TH","CAT-BB","199","N/A","4145","socks4","4809","81","2023-12-12T07:31:12.208Z","72","3740","5161"
"2.137.22.252","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","45","N/A","4153","socks4","3909","1","2023-12-12T07:31:11.013Z","98","5125","5213"
"165.225.24.50","elite","AS62044","DE","Zscaler Switzerland GmbH","11","Zscaler, Inc.","10007","socks4","4203","1","2023-12-12T07:31:11.015Z","100","5184","5198"
"66.78.54.93","elite","AS21769","US","Colocation America Corporation","192","code200 UAB","20000","socks4","3095","1","2023-12-12T07:31:11.022Z","96","4955","5154"
"103.47.93.219","elite","AS134058","IN","Broban Internet Services Pvt.ltd","184","Broban  PVT Ltd.","1080","socks4","4592","1","2023-12-12T07:31:11.023Z","99","5130","5174"
"185.162.228.128","elite","AS209242","GB","Cloudflare London, LLC","12","Softconstruct Limited","80","socks4","4612","1","2023-12-12T07:31:11.019Z","100","5145","5147"
"51.83.140.70","elite","AS16276","PL","OVH SAS","84","OVH Sp. z o. o","8181","socks5","4709","1","2023-12-12T07:31:07.709Z","100","5247","5250"
"183.89.40.224","elite","AS45629","TH","Triple T Broadband Public Company Limited","167","Triple T Broadband Public Company Limited","1080","socks4","5004","1","2023-12-12T07:31:07.625Z","98","5056","5139"
"1.4.145.244","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","3002","1","2023-12-12T07:31:07.627Z","65","3271","5069"
"103.82.11.233","elite","AS136156","BD","FNF Online","182","N/A","4153","socks4","2911","1","2023-12-12T07:31:07.623Z","99","5148","5207"
